text,location_str,latitude,longitude,sentiment,sentiment_strength,confidence,neg_score,neu_score,pos_score,analysis_timestamp
"Krankenhäuser-Betten in #SchleswigHolstein:

Anteil der freien Betten
an Gesamtzahl der Intensivbetten: 19.97%
Betten frei: 143
Betten belegt: 573
Betten gesamt: 716

#SARSCoV2 #COVID19 #COVID19sh #COVID19de #DIVI",Schleswig-Holstein,54.1853998,9.8220089,Neutral,-0.0174,0.8788,0.0693,0.8788,0.0519,2025-12-05 13:26:52
"#Pfizer's #COVID19 #vaccine trial data shows long-term efficacy in adolescents https://t.co/zLuG3H1wBh A two-dose series of the vaccine was 100% effective against COVID-19, measured seven days through over four months after the second dose, the company said.#GetVaxxed","Westbury, NY",40.7556561,-73.5876273,Positive,0.7174,0.7235,0.0061,0.2704,0.7235,2025-12-05 13:26:52
"#COVID19 Il est évident que les hôpitaux français ne sont pas équipés pour gérer ; comment le serait ils avec les suppressions de lits, le matériel vieillissant, le manque d’information sur aérosols…  sorry not sorry mais quand je vois des soignants sans FFP2 c’est la honte. https://t.co/htmFmsRiCw",Europe,51.0,10.0,Negative,-0.5836,0.6025,0.6025,0.3786,0.0189,2025-12-05 13:26:52
Me going to work after #CDC says being sick is just a mind state. #COVID19 https://t.co/VOjyoe9nMw,"New Jersey, USA",40.0757384,-74.4041622,Negative,-0.6815,0.7014,0.7014,0.2787,0.0199,2025-12-05 13:26:52
"Pass sanitaire inutile et ubuesque, ce n'est pas une surprise ! #COVID19 #castex #Passanitaire https://t.co/VdomDrfWVC","Chéroy, France",48.201491,2.9966394,Neutral,0.1134,0.6606,0.113,0.6606,0.2264,2025-12-05 13:26:52
"Moi dans quelques jours face à mes élèves...
#COVID19 #Covid_19 #Covid #RentreeDu3janvier https://t.co/DP61pYu8lo","Corrèze, Limousin",45.3429047,1.8176424,Neutral,-0.4552,0.5054,0.4749,0.5054,0.0197,2025-12-05 13:26:52
"@LemSip27 @jwahjwah Agree... vaccinated or not vaccinated, you can still catch Covid. It is important to continue with the necessary precautionary measures, using common sense. Getting back into our lives should be done with caution around #Covid19 - we should be cautious with today's stats also.","England, United Kingdom",52.5310214,-1.2649062,Neutral,-0.1456,0.6514,0.2471,0.6514,0.1015,2025-12-05 13:26:52
"මාධ්‍ය  නිවේදනය - 2021.12.27 -
- 2021.12.27 - දින වාර්තා කරන ලද කොවිඩ් මරණ සංඛ්‍යා -
- Covid death figures reported today - 2021.12.27 -
#DGI #Government #Information #Department #News #infodprtsl #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic https://t.co/VtBalFgaZ1",Sri Lanka,7.5554942,80.7137847,Neutral,0.0341,0.8159,0.075,0.8159,0.1091,2025-12-05 13:26:52
NIV has its roles in pulmonary edema or COPD exacerbation but in viral pneumonias its less clear. Unfortunately this pandemic has strained systems so much that patients that would’ve been intubated 3 days earlier are left on NIV because we just don’t have beds! #COVID19 https://t.co/NQyBYsGl1H,"Houston, TX",29.7589382,-95.3676974,Negative,-0.8185,0.8272,0.8272,0.1642,0.0087,2025-12-05 13:26:52
"Although vaccine supplies have started increasing to Africa, where just 7.5% of its more than 1 billion people are fully vaccinated, many African nations are finding they do not have the capacity to manage the shots. |
#sii #vaccine #COVID19 |

https://t.co/q83vOgDeWE",India,22.3511148,78.6677428,Neutral,-0.3826,0.5406,0.421,0.5406,0.0384,2025-12-05 13:26:52
@bichebikini #PassSanitaire #COVID19 est protecteur.,France,46.603354,1.8883335,Negative,-0.4834,0.5115,0.5115,0.4604,0.0281,2025-12-05 13:26:52
"#FWLHD reported 1 new case of #COVID19 to 8pm last night.

The new case is in #BrokenHill

Recovered cases: 300
Active cases: 19 (2 in #Balranald, 4 in #BrokenHill &amp; 13 Wentworth LGA) https://t.co/j36yX1TY4s","Broken Hill, NSW",-31.965,141.4511111,Neutral,-0.0976,0.853,0.1223,0.853,0.0247,2025-12-05 13:26:52
Wow — Blunt statement from the @SchoolsLewiston : “We simply do not have the staff” due to #COVID19 @newscentermaine #maine @mdoenews @MEPublicHealth @nirav_mainecdc https://t.co/pc601z45IP,"Portland, ME",43.6573605,-70.2586618,Negative,-0.4836,0.5607,0.5607,0.3622,0.0771,2025-12-05 13:26:52
"#Dogs are helping people get safely back to work! Pet care company, Bark, has enlisted the help of #COVID19 sniffing dogs to screen people coming into the office. The dogs have a 98% accuracy rate, which is even better than most PCR tests. https://t.co/5sFFtra4as","Indianapolis, IN",39.7683331,-86.1583502,Positive,0.9085,0.9136,0.0051,0.0814,0.9136,2025-12-05 13:26:52
Billions of people are being denied the protection from #COVID19 they urgently need. No-one is safe until everyone’s safe. I’m urging @BorisJohnson not to stand in the way of a #PeoplesVaccine. Please join me and sign the petition. https://t.co/FaQPlafNeq,Quedgeley,51.8274128,-2.2773034,Negative,-0.7735,0.7917,0.7917,0.1901,0.0182,2025-12-05 13:26:52
"@Senado_Chile @Camara_cl #NOmasAFP  #ElPeorPresidenteDeLaHistoria #18O #EstadodeChileviolaDDHH #Dictadura #PandoraLeaks #COVID19 #VOLCOM  #FuerzaAbuelaConCuartoRetiro #VarianteDelta
#ConvencionConstitucional #PandorasPapers #acusacionconstitucionalparapiñera 😡💪 https://t.co/sYeHG4z4ak",Chile,-31.7613365,-71.3187697,Neutral,-0.1308,0.8016,0.1646,0.8016,0.0338,2025-12-05 13:26:52
"Bumaba sa 439 ang 7-day average cases ng #COVID19 sa NCR na may 0.40 nalang na reproduction rate, ayon kay Dr. Guido David ng OCTA Research. Noong Pebrero pa aniya huling nakita ang below 500 na 7-day average rate ng NCR.

📷 : Dr. Guido David/Twitter https://t.co/YQ5YHXnAPA",Philippines,12.7503486,122.7312101,Neutral,-0.0277,0.9015,0.0631,0.9015,0.0354,2025-12-05 13:26:52
"About one in 100 patients #Hospitalized with #Covid19 are likely to develop central nervous system complications, including strokes, according to a study.

#Hospitalized  #Covid19  

https://t.co/ZTMRPrTVUu","Hyderabad, India",17.360589,78.4740613,Negative,-0.6256,0.6416,0.6416,0.3424,0.016,2025-12-05 13:26:52
We begin the week with more updates! Our Food Rescue Ambassadors in Bangkok have journeyed to Ma Chim community to deliver vegetables and donuts to the residents! 🥦🍞🥨 #SOSThailand #FoodDonation #COVID19 https://t.co/C7syZQnN1k,"Bangkok, Thailand",13.7524938,100.4935089,Positive,0.797,0.7996,0.0026,0.1979,0.7996,2025-12-05 13:26:52
"No side effects were recorded as a result of receiving #Covid19 vaccines. 

https://t.co/lbmw6mmwj8",Oman,21.0000287,57.0036901,Neutral,0.0456,0.8088,0.0728,0.8088,0.1184,2025-12-05 13:26:52
"COVID-19: As Austria begins national lockdown; experts say situation in India resembles the time before second wave hit country 
#Covid19 #Austria 
https://t.co/Hc9SPepuXQ",India,22.3511148,78.6677428,Neutral,-0.2766,0.6772,0.2997,0.6772,0.0231,2025-12-05 13:26:52
ブラウンズHCステファンスキーが新型コロナ 陽性 | NFL https://t.co/giugx8GeFs #新型肺炎 #コロナ #新型コロナ #新型コロナウイルス #COVID19 #うちで過ごそう #感染時に備えよう #戦う相手は人ではなくウイルス https://t.co/f1jPyoplCt,"Tokyo,Japan",35.6768601,139.7638947,Neutral,-0.0144,0.9147,0.0499,0.9147,0.0355,2025-12-05 13:26:52
"Damn.

#COVID19 vaccine side effects are no joke. I got my booster yesterday and it's been a pain all day.

Still, though, it's a lot better than the alternative. Better one day of side effects than getting the virus.

#Pfizer","Newnan, GA",33.3806716,-84.7996573,Negative,-0.3933,0.5959,0.5959,0.2015,0.2026,2025-12-05 13:26:52
"#COVID19 
Je ne peux pas laisser dire ça, ce n’est pas éthique, même avec un vaccin stérilisant (loin d’être le cas) ce ne serait toujours pas éthique. 

Par contre je vois bien un hosto pour les non FFP2/3+ (vax ou pas) ou ils pourraient continuer à se refiler leur miasmes. https://t.co/oTe53TMdNe",Europe,51.0,10.0,Neutral,-0.2302,0.6922,0.269,0.6922,0.0388,2025-12-05 13:26:52
"📊 #COVID19 | Situación actualizada del #coronavirus en Aragón y el mundo

👉 Incidencia acumulada
👉 Evolución de la vacunación
👉 Presión sanitaria
👉 Evolución diaria y mensual por territorios
👉 Situación en el mundo

https://t.co/pXhQuaCGME",Aragón,41.3787291,-0.7639373,Neutral,-0.0286,0.906,0.0613,0.906,0.0327,2025-12-05 13:26:52
"#Omicron cases rises, Indonesia is on high alert for community transmission.While Coordinating Minister #Luhut Binsar is busy making misleading allegations regarding #COVID19. @kylegriffin1 @SophieHRW @andreasharsono 
https://t.co/zlmOtYd8aX","Perth, Australia",-31.9558967,115.8605784,Negative,-0.6933,0.7088,0.7088,0.2757,0.0155,2025-12-05 13:26:52
#Australia #COVID19 #Omicronindia #AustraliaHasFallen #COVID19 #Cuba #9News,پاکستان,30.3308401,71.247499,Negative,-0.702,0.7177,0.7177,0.2665,0.0157,2025-12-05 13:26:52
"#COVID19 | La Consejería regional de Sanidad ha comunicado este sábado de manera provisional 376 nuevos #casos de #coronavirus #covid-19 en #Canarias en las últimas 24 horas. 
https://t.co/lJGltXv97s",Islas Canarias,28.2935785,-16.6214471,Neutral,-0.2306,0.7204,0.2551,0.7204,0.0245,2025-12-05 13:26:52
"Locally, in Knox County, cases jumped back up nearly 20% last week after dropping the 5 previous weeks.
#COVID19 #ItsNotOver #MaskUp #GetVaccinated #Illinois https://t.co/fznd5I5Qve","Monmouth, IL",40.9127103,-90.6472477,Neutral,-0.1903,0.6322,0.279,0.6322,0.0887,2025-12-05 13:26:52
#COVID19  #health https://t.co/8kChHkT7d1,the ATL,33.470757,-84.3380544,Neutral,-0.3342,0.5978,0.3682,0.5978,0.034,2025-12-05 13:26:52
"⚠️Lendemain de jour férié après très peu de tests réalisés hier, donc seuls 3 860 cas positifs ont été recensés en 24h (8 998 vendredi dernier).

La moyenne glissante est perturbée (comme après le 1er novembre), mais la tendance ces derniers jours est en nette hausse.

#Covid19 https://t.co/04vVfdTT50","Paris, France",48.8588897,2.320041,Neutral,-0.134,0.7982,0.1679,0.7982,0.0339,2025-12-05 13:26:52
"La @FGRMexico cierra el caso de la Dra. Marisa Brito, acusada de comprar fentanilo que usó como anestesia ante la falta de medicamentos durante la pandemia de #Covid19. #NmásMedia https://t.co/8jYtx0Kh9X",CdMx,19.4326296,-99.1331785,Neutral,-0.0355,0.8641,0.0857,0.8641,0.0502,2025-12-05 13:26:52
"En cumplimiento con las medidas establecidas por autoridades sanitarias, la #FGR emitió protocolo y medidas de actuación por la vigilancia epidemiológica ante #Coronavirus #COVID19 para la protección de trabajadores a nivel nacional y público usuario. https://t.co/vjzawzs5Nq https://t.co/YuozEaRaOv",México,23.6585116,-102.0077097,Neutral,-0.0655,0.8392,0.1132,0.8392,0.0477,2025-12-05 13:26:52
"As the number of #COVID19 cases in Australia is seriously climbing and only 6% of the population have received a booster shot, serious restrictions will be required to limit the spread of #Omicron in Australia and avoid a surge in ICU admission https://t.co/VlpvNz30Ee","Canberra, Australia",-35.2975906,149.1012676,Negative,-0.5124,0.5449,0.5449,0.4226,0.0325,2025-12-05 13:26:52
"The Sengetsu is the new #COVID19 Species, caused by #Omicron species mixed with #Delta. Thus has the power of #KillLaKill that is immortal, until the vaccine developed to the best of his abilities can no longer do anything forever.

#HappyNewYear2022 #HappyNewYear",Unknown. ,26.492533,92.3308789,Neutral,0.2596,0.5915,0.0744,0.5915,0.334,2025-12-05 13:26:52
"➜ Reporting 128 new cases. Today's #COVID19 figures for Medina County: 24,141 cumulative cases (+128), 995 hospitalizations (+3), 340 deaths, and 22,138 presumed recovered. #COVID19 #WearAMask Have a safe holiday, #GetVaccinatedNow https://t.co/6PonOWkSyQ","Medina, Ohio, USA",41.1000764,-81.9382517,Neutral,-0.325,0.6172,0.3539,0.6172,0.0289,2025-12-05 13:26:52
"Hi 👋 ASEAN family

#NewsFromLaos🇱🇦

#COVID19 #Laos🇱🇦 as 27 October 2021

😷New Confirmed Cases: 733
🦠Cumulative number of cases: 37,751 (+733)
👍🏻Recoveries: 6,879 
📣Fatalities: 59 (+3)

📸 https://t.co/icWc3jQEqO

#Laos #LaoPDR #Covid19
#MOH_LA
#WearAMask    
#StayHome https://t.co/qY5Sin3rN9","Bali, Indonesia",-8.2271303,115.1919203,Neutral,-0.1865,0.7345,0.226,0.7345,0.0395,2025-12-05 13:26:52
Millones de personas carecen de acceso a una cobertura de salud asequible porque los estados donde viven se han negado a expandir Medicaid. Muchos de ellos fueron trabajadores esenciales durante #COVID19. @POTUS debe #CloseTheCoverageGap para garantizar la seguridad de su salud.,"Washington, DC",38.8950368,-77.0365427,Neutral,-0.1578,0.7358,0.211,0.7358,0.0532,2025-12-05 13:26:52
"#COVID19 #cblive #rtept #TonightVMTV #NPHET @CMOIreland @rtenews.@fiannafailparty @FineGael. @greenparty_ie  LIVE: Large crowds march on Dublin city centre as part of anti-vaccine protests

https://t.co/9YprfinHUs",Dublin,53.3493795,-6.2605593,Neutral,-0.328,0.6366,0.3457,0.6366,0.0177,2025-12-05 13:26:52
"https://t.co/2WKGdeQo5m
#PMModi #vaccination #COVID19",India,22.3511148,78.6677428,Neutral,0.1349,0.7943,0.0354,0.7943,0.1703,2025-12-05 13:26:52
"So what with the shots and #covid19 ""booster shots"" are they gonna force it forever because that thing doesn't seem to stop not even with vaccines..",US-México,39.1697626,-91.8829484,Negative,-0.7729,0.7839,0.7839,0.2052,0.011,2025-12-05 13:26:52
"Register now to join virtually:
#OECD Green Growth and Sustainable Development Forum 2021  https://t.co/rX20Efdh4P via @OECD_ENV 

#climatechange #COVID19 #buildbackbetter #ClimateCrisis #ClimateAction #Transport #NetZero #greenhousegas","Vienna, Austria",48.2083537,16.3725042,Neutral,0.3376,0.6401,0.0111,0.6401,0.3487,2025-12-05 13:26:52
"#persconferentie

Advies gekregen.
Verzinsels van 2020 spuien. #Covid19 door #Omikron vervangen.
Makkelijk voor #journalisten.
Kunnen copy/past artikelen plaatsen. Met vette koppen!
Dankbaar voor mijn hardwerkende ambtenaren!
Ik heb de macht, dus kan ik de grootste onzin blaten. https://t.co/D6gQVcCzlw",world,46.2326782,6.1342244,Neutral,-0.0566,0.8054,0.1256,0.8054,0.069,2025-12-05 13:26:52
"Wrigleys At-Home Series | In light of difficulties signing documents during the #Covid19 pandemic, there is now a process in place for the electronic signature of #InheritanceTax Forms. Our solicitor @KimWoodhead explains more: https://t.co/zmrROswv5x https://t.co/JIjRiY3wrl",Leeds & Sheffield,53.7546415,-1.3680647,Neutral,0.0183,0.8998,0.041,0.8998,0.0593,2025-12-05 13:26:52
"Join us at our Covid19 vaccine clinic to get your vaccine and stay for the free games, prizes, music and food!
Make your appointment by calling 714-805-7838. 

#weareLHA #COVID19 https://t.co/N9TVcYQQrn","Santa Ana, CA",33.7494951,-117.873221,Positive,0.7066,0.7098,0.0032,0.287,0.7098,2025-12-05 13:26:52
"Gusto ng mga negosyanteng iklian sa kalahating metro ang physical distancing sa mga kainan, opisina, at iba pang establisimyento.

Katuwiran ng isang grupo, karamihan naman sa mga manggagawa ay nakakumpleto na ng bakuna kontra #COVID19. #COVID19VaccinePH https://t.co/DXF7fistcz",Philippines,12.7503486,122.7312101,Neutral,-0.2055,0.7093,0.2481,0.7093,0.0426,2025-12-05 13:26:52
@WinsomeSears ICYDK #COVID19 infection spills over to the vaccinated (Breakthrough infections) from the unvaccinated who are infected.. and the reason we (the vaccinated) continue to wear masks when indoors in public places and vaccination status of others is unknown 🤦🏼‍♀️,Richmond VA,-32.8652,151.5012,Negative,-0.6358,0.6547,0.6547,0.3264,0.0189,2025-12-05 13:26:52
"[ https://t.co/qjlfad0tDg ] Il y a 2heures #Covid19-Cas contacts, tests systematiques, prix : quels changements attendent les enfants a l'#Ecole a partir du 29 novembre https://t.co/PwvDVTm5QF",Everywhere,45.5055196,-122.6564484,Neutral,-0.0714,0.8702,0.1006,0.8702,0.0292,2025-12-05 13:26:52
"12-18 साल के बच्‍चों को भी लगेगा कोविड रोधी टीका, #DGCI ने #BharatBiotech के वैक्‍सीन को दी मंजूरी

#COVID19 #Corona #CoronaVaccine

https://t.co/kTkOB26KT8","New Delhi, India",28.6419258,77.2217499,Neutral,-0.0089,0.8687,0.0701,0.8687,0.0612,2025-12-05 13:26:52
"1-mandatory vaccinations
2- mandatory FP2 in close places 

these two things are easily accessible and the only effective tools so far, and would allow relatively normal life.

what is the world waiting for?
#COVID19","Roma, Lazio",41.8933203,12.4829321,Positive,0.539,0.5703,0.0313,0.3984,0.5703,2025-12-05 13:26:52
"@rotinom71 #SARSCoV2 has been isolated all over the world

Ignore the US CDC report of isolation (if you want!)
See:

Korea
https://t.co/J1zZQAmMAd

Australia
https://t.co/CAimFbHIzF

Italy
https://t.co/lP0MVhpwH5

Spain
https://t.co/rGy4WnJW55

Canada
https://t.co/ocZAi8bnSh

#COVID19",Australia,-24.7761086,134.755,Negative,-0.6452,0.6667,0.6667,0.3118,0.0215,2025-12-05 13:26:52
"Sambalpur: Entry of devotees restricted at Samaleswari Temple from December 30, 2021 till January 2, 2022; decision taken by district administration in view of the #COVID19 situation 

#Odisha","Bhubaneswar, India",20.2602964,85.8394521,Neutral,-0.3006,0.6716,0.3145,0.6716,0.0139,2025-12-05 13:26:52
"Still need to get your #COVID19 vaccine, but not sure where to start? Check https://t.co/7iOIl55PBa for links and resources relevant to #TCHC tenants. https://t.co/z66Lm6mdKa",Toronto,43.6534817,-79.3839347,Neutral,-0.1427,0.7488,0.197,0.7488,0.0543,2025-12-05 13:26:52
"Felicidades al IPK en su 84 aniversario,institución con extraordinarios resultados científicos, que ha jugado un papel decisivo en el enfrentamiento a la #COVID19.Una obrade#EMPROY2#ArquitecturadeHoy,PatrimoniodelMañana#ProyectosenCubayElMundo#SomosCuba #CubaEsSalud#CubaVive https://t.co/hZKu3ePUme",La Habana,23.135305,-82.3589631,Neutral,0.0474,0.8144,0.0691,0.8144,0.1165,2025-12-05 13:26:52
"#FelizMartesATodos 26 de octubre de 2021 

#AMLO #COVID19 #SCJN

Desde #PalacioNacional, el presidente de #México, @lopezobrador_, estuvo acompañado por @HLGatell, @Luis_C_Sandoval, Jorge Alcocer Varela, secretario de @SSalud_mx, entre otros funcionarios. https://t.co/YgtDmBA4f3",Ciudad de México,19.4326296,-99.1331785,Neutral,-0.004,0.907,0.0485,0.907,0.0445,2025-12-05 13:26:52
"#Ukraine reports 6,029 new #COVID19 cases 

https://t.co/5eSjdiSYYj",Украина,49.4871968,31.2718321,Negative,-0.4845,0.4992,0.4992,0.4861,0.0147,2025-12-05 13:26:52
Wir haben unseren Artikel zu den #Corona-Regeln in #Thüringen über #Weihnachten und zu #Silvester auf den neuesten Stand gebracht:  https://t.co/EzbCMBg2Vc #Covid19,Erfurt,50.9777974,11.0287364,Neutral,-0.0941,0.82,0.1371,0.82,0.043,2025-12-05 13:26:52
"SCOTLAND.

Coronavirus (COVID-19): daily data for Scotland. 15 November 2021.

0 new reported death(s) of people who have tested positive.

Scotland death toll. Of the people who have tested positive:  9,389 have died.

#coronavirus disease 2019 (COVID-19) #COVID19  #Scotland https://t.co/PAM94r24KT",United Kingdom,54.7023545,-3.2765753,Negative,-0.6514,0.6659,0.6659,0.3196,0.0145,2025-12-05 13:26:52
ศบค. ต่อพรก.ฉุกเฉินอีก 2 เดือน ยกเลิกเคอร์ฟิว จังหวัดสีแดงเข้ม #เคอร์ฟิว #ไวรัสโคโรนา #โควิด19 #covid19 #วัคซีนโควิด #โควิดวันนี้ via @PostToday https://t.co/J466hQLdSH,"Bangkok,Thailand",13.7524938,100.4935089,Neutral,0.0017,0.8594,0.0695,0.8594,0.0712,2025-12-05 13:26:52
"Actor #NupoorAlankar praised Sonu Sood’s team members and feels obliged to personally thank all

#SonuSood | #Covid19 | #Pandemic 

https://t.co/ILTVdb9tAM",Mumbai,19.054999,72.8692035,Positive,0.8328,0.8427,0.0099,0.1475,0.8427,2025-12-05 13:26:52
"What else was fake?

#KamalaHarris gets #COVID19 booster shot on the #fake White House set

https://t.co/zegSuLfoRo","New York, USA",40.7127281,-74.0060152,Negative,-0.699,0.7137,0.7137,0.2716,0.0147,2025-12-05 13:26:52
How Covid-19 made me Believe in God. #God #Religion #believer #COVID19 https://t.co/3eIku8uMZx via @YouTube,Canada,61.0666922,-107.991707,Positive,0.6321,0.6445,0.0124,0.343,0.6445,2025-12-05 13:26:52
Recovering from #COVID19 can take much longer than usual for some people. Employers and #BusinessOwners can consider using reasonable adjustments to support employees. Read our suggestions here: https://t.co/bNTxRVithA #SME,Great Britain,54.3151594,-1.9181532,Neutral,-0.119,0.7176,0.2007,0.7176,0.0817,2025-12-05 13:26:52
#Sudan #COP26 #climate #COVID19 and more: https://t.co/rpEsqfFtst,"New York, NY",40.7127281,-74.0060152,Neutral,-0.1362,0.8078,0.1642,0.8078,0.028,2025-12-05 13:26:52
"She may or may not be having a leaving do, we'll find out next December #COVID19 https://t.co/03Nfw0tAyC","Rosyth, Scotland",56.0388706,-3.4206538,Neutral,-0.2102,0.7513,0.2295,0.7513,0.0193,2025-12-05 13:26:52
"FDA primed to consider Pfizer #COVID19 vaccine for younger kids

Also, Moderna announces promising immune response and safety data for its vaccine in kids ages 6 to 11

https://t.co/Qntibn4Xe7 https://t.co/l0kQQD5NcJ","Minneapolis, MN",44.9772995,-93.2654692,Positive,0.5911,0.5959,0.0048,0.3992,0.5959,2025-12-05 13:26:52
Bu satte üçüncü dozumu olmaya gidiyoruz 💉 #Biontech #COVID19 https://t.co/lRvDRBi4I3,"Bursa, Türkiye",39.9895878,28.8944669,Positive,0.4885,0.5108,0.0223,0.4669,0.5108,2025-12-05 13:26:52
#COVID19 💉@pfizer https://t.co/W517rNO2qS,Missouri,38.7604815,-92.5617875,Negative,-0.4878,0.5283,0.5283,0.4312,0.0405,2025-12-05 13:26:52
The segregation of refugees into camps in Libya is inhumane! @IDCmonitor @ICRC_dc @DetentionWatch @Migreurop @asylumaccess @GSCDL @IOM_USRAP @ICNARelief @IRC @HIASrefugees @WorldRelief @RESCUEorg @RSF_inter @USCRI #EvacuateRefugeesfromLibya #endingchildDetention #UNGA76 #Covid19,Eritrea,15.9500319,37.9999668,Negative,-0.8812,0.8878,0.8878,0.1056,0.0066,2025-12-05 13:26:52
"#Maddow 

Yikes.  Looks like Boston is in for a huge #COVID19 spike.  Weird, given the vaccination rate (high compared to other places in the US).  😳",Earth,34.2331373,-102.4107493,Negative,-0.7017,0.7305,0.7305,0.2408,0.0288,2025-12-05 13:26:52
This is unacceptable. Our immigration system is a total disaster and it gotten even worse since #covid19. @liberal_party is this how you handle immigration? This is disappointing! #lpc #FederalGovernment https://t.co/4Nhvdpq8J4,Canada,61.0666922,-107.991707,Negative,-0.952,0.957,0.957,0.038,0.005,2025-12-05 13:26:52
"Officials at Wyoming County's only hospital say all beds and its ER are full, nursing home residents can't be moved from acute care and elective surgeries are on hold for at least 100 people because of #COVID19. https://t.co/sWT2wYzrE7 @MikeDesmondWBFO https://t.co/6vfaAGj1Is","Buffalo, NY",42.8867166,-78.8783922,Negative,-0.7528,0.7634,0.7634,0.226,0.0106,2025-12-05 13:26:52
"Ich lass das mal so stehen.

#COVID19 https://t.co/vg1zHThPKX",Deutschland,51.1638175,10.4478313,Neutral,-0.2626,0.6186,0.322,0.6186,0.0594,2025-12-05 13:26:52
"#Venezuela | Lila Vega: hay un ""pésimo manejo"" del programa de vacunación del #COVID19 en Venezuela  🗞 https://t.co/fd3nCP0WWm",Caracas - Venezuela,10.5060934,-66.9146008,Neutral,-0.0093,0.9082,0.0506,0.9082,0.0413,2025-12-05 13:26:52
"Incredibly saddened to learn of the death of a local businessman in the area I was working in today.

My colleague told me.

I didn't know.

The chap was younger than me and we'll known in the area. Died, apparently, from complications that followed on from having #COVID19

😔","Corby, England",52.4877341,-0.7032713,Negative,-0.8098,0.8228,0.8228,0.1643,0.013,2025-12-05 13:26:52
"O detalhamento está disponível em:
https://t.co/zeNWhqX3qj
#saude #saudemg #boletim #coronavirus #covid19 https://t.co/DjmNYbdbKu","Belo Horizonte, MG",-19.9227318,-43.9450948,Negative,-0.4903,0.5106,0.5106,0.4691,0.0203,2025-12-05 13:26:52
"Several locations in New Jersey are ramping up efforts to deal with the spread of #COVID19. On Monday, the mayor of Newark signed an order that will require proof of vaccination in order for people to enter many establishments. @KiranDhillonTV reports. https://t.co/qNd3P8KJgb",New York City,40.7127281,-74.0060152,Neutral,0.0119,0.9089,0.0396,0.9089,0.0515,2025-12-05 13:26:52
"El hombre fue capturado mientras esperaba la aplicación de su octava dosis contra la #COVID19 en un centro de salud.
https://t.co/kcanmKX8cU",Ciudad de México,19.4326296,-99.1331785,Neutral,-0.261,0.6722,0.2944,0.6722,0.0334,2025-12-05 13:26:52
#CubaPorLaSalud  Marcha bien campaña de vacunación anti-#Covid19  en Morón  https://t.co/fvBRKsOtn4 https://t.co/FjvCVnFFeN,Cuba,23.0131338,-80.8328748,Neutral,-0.3245,0.6136,0.3554,0.6136,0.0309,2025-12-05 13:26:52
"กทม.เตรียมเพิ่มจุดฉีดวัคซีน ลงทะเบียนผ่านแอปพลิเคชัน ""QueQ"" https://t.co/rFq1BcPrta 

#วัคซีนโควิด #โควิด19 #โควิดวันนี้ #COVID_19 #โควิด #COVID19 #TNN #TNNThailand #TNNช่อง16 #TNNONLINE",Bangkok,13.7524938,100.4935089,Neutral,-0.0164,0.8316,0.0924,0.8316,0.076,2025-12-05 13:26:52
Year in review: North Carolina and COVID-19 https://t.co/ovtSJMXRed #ncpol via @ncpolicywatch #ncpol #ncga #ncgov #COVID19 #vax,North Carolina,35.6729639,-79.0392919,Neutral,-0.0354,0.9117,0.0618,0.9117,0.0264,2025-12-05 13:26:52
Repunte de contagios: 5 decesos y 79 positivos por covid-19   Noticias Paraguay https://t.co/hba4UL7V4Y #Procesamos #Lamentamos #Uti #October #Covid19 #Coronavirus #MinisterioDeSalud #Covid19 #Pandemia #Salud,"Asuncion, Paraguay",-25.2800459,-57.6343814,Neutral,-0.0683,0.7892,0.1396,0.7892,0.0713,2025-12-05 13:26:52
"Yesterday, two fully vaccinated persons who returned from abroad last month have tested positive for the new Omicron strain of #COVID19 in Mumbai. With this, India’s tally reached 23.

https://t.co/SdJTXpWIN1",India,22.3511148,78.6677428,Neutral,-0.117,0.8032,0.1569,0.8032,0.0399,2025-12-05 13:26:52
"Com o aumento dos níveis de ansiedade devido a pandemia de Covid-19, entenda como essa terapia pode ser uma aliada para 2022

#ansiedade #covid19 #usomedicinal #CBD

Saiba mais 👇

https://t.co/83DxRgyRpD",Brasil,-10.3333333,-53.2,Neutral,-0.0634,0.8482,0.1076,0.8482,0.0442,2025-12-05 13:26:52
"💉 Vacunación #COVID19 | Reporte de dosis aplicadas hasta el sábado 13.

#VacunatePy
Cifra actualizada desde el inicio de la campaña de vacunación 

Acercate a un vacunatorio!! https://t.co/H6amXhPXCX",Paraguay,-23.3165935,-58.1693445,Neutral,0.1769,0.7925,0.0153,0.7925,0.1922,2025-12-05 13:26:52
Internacional: Ómicron: Minsa invoca completar vacunación COVID-19 y continuar con medidas sanitarias frente a nueva variante - Diario Perú21 https://t.co/bThdRwg0TP #Ómicron #Minsa #coronavirus #COVID19 https://t.co/8ThYU25nfR,Perú,-6.8699697,-75.0458515,Neutral,-0.0618,0.8654,0.0982,0.8654,0.0364,2025-12-05 13:26:52
🇦🇹 Covid-19 - Göllersdorfer Teststraße öffnet wieder https://t.co/vyqRA2JUkb #covid19 #corona #covid,Austria,47.59397,14.12456,Negative,-0.6849,0.702,0.702,0.2809,0.0171,2025-12-05 13:26:52
